플랫폼,브랜드,제품명,대분류_순위,대분류,중분류,소분류,평점,후기 수,정가,할인가
올리브영,휩드, 휩드 비건 팩클렌저 130g 기획/단품 (무화버터/머그트리/유자몽),1,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,2162,29000,22900.0
올리브영,마녀공장,마녀공장 퓨어 클렌징 오일 200mlX2 더블기획,2,클렌징,오일/밤,클렌징오일,4.9,13929,37000,25900.0
올리브영,바이오더마,바이오더마 센시비오 H2O 850ml 기획 (+K2 콜라보 폴딩 에코백),3,클렌징,워터/밀크,클렌징워터,4.9,82075,37500,22900.0
올리브영,비플레인, 비플레인 녹두 약산성 클렌징폼 160ml + 40ml 기획,4,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,10743,21900,18600.0
올리브영,바닐라코, 바닐라코 클린잇제로 오리지널 클렌징밤 100ml 기획 (+미니어처키트 7ml*4개입),5,클렌징,오일/밤,클렌징밤,4.9,4121,20000,14800.0
올리브영,일소, 일소 슈퍼 멜팅 세범 소프트너 150ml 기획 (+솜 40매 증정),6,클렌징,필링&스크럽,피지클리너,4.7,12860,21000,17900.0
올리브영,아렌시아, 아렌시아 프레시 떡솝 클렌저 120g 기획 3종 택1 (그린/로즈힙/블루히솝),7,클렌징,클렌징폼/젤,클렌징폼/젤,4.7,3816,23000,19100.0
올리브영,풀리,풀리 비건 그린 토마토 클레이 팩 클렌저 120ml,8,클렌징,클렌징폼/젤,팩클렌저,4.8,2244,24000,17900.0
올리브영,토리든,토리든 다이브인 저분자 히알루론산 클렌징 폼 더블 기획 (150ml+150ml),9,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,9457,26000,17390.0
올리브영,센카,센카 퍼펙트 휩 페이셜 워시 120g BT21 콜라보 더블 기획 (+15g),10,클렌징,클렌징폼/젤,클렌징폼/젤,4.9,2131,17600,11900.0
올리브영,마녀공장,마녀공장 퓨어&딥 클렌징 폼 1+1 기획 (120ml+120ml),11,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,35694,14000,11400.0
올리브영,라로슈포제, 라로슈포제 똘러리앙 포밍 클렌저 125ml 더블 기획 (+15ml*2 증정),12,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,1988,60000,39900.0
올리브영,에이프릴스킨,에이프릴스킨 캐로틴 클렌징밤 기획세트(+코 칫솔 증정),13,클렌징,오일/밤,클렌징밤,4.7,4373,21000,19000.0
올리브영,비건이펙트," 비건이펙트 그린 청보리 라하 젤클렌저 205ml 트롤콜라보기획 (+토너패드 4매,하트키링)",14,클렌징,클렌징폼/젤,클렌징폼/젤,4.7,1918,22000,19000.0
올리브영,제로이드, 제로이드 포밍 클렌저 240ml,15,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,607,22000,18810.0
올리브영,닥터지, 닥터지 브라이트닝 필링젤 기획 2종 택1 (120+60g+배리어D로션 2ml/120+120g),16,클렌징,필링&스크럽,페이셜스크럽,4.8,35316,21000,17700.0
올리브영,라로슈포제, 라로슈포제 에빠끌라 딥클렌징포밍크림 125ml 기획 (+에빠폼 15ml),17,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,5366,30000,22400.0
올리브영,토르홉, 토르홉 카모스 블랙 소금거품 클렌저 130g+5g 기획,18,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,1568,18600,12500.0
올리브영,바닐라코,바닐라코 클린잇제로 클렌징밤 100ml 기획 3종 택1 (+미니어처키트 7ml*4ea),19,클렌징,오일/밤,클렌징밤,4.9,6807,20000,14800.0
올리브영,메이크프렘,메이크프렘 세이프 미 릴리프 모이스처 클렌징 밀크 기획 (200ml+폼50ml),20,클렌징,워터/밀크,클렌징밀크/크림,4.8,7984,24000,18000.0
올리브영,비플레인, 비플레인 녹두 클렌징 오일 200ml + 50ml 세트,21,클렌징,오일/밤,클렌징오일,4.8,5082,24000,19900.0
올리브영,에스네이처, 에스네이처 아쿠아 라이스 약산성 클렌징폼 160ml 기획(+20ml),22,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,4491,19000,15900.0
올리브영,주미소,주미소 포어 퓨리파잉 살리실산 포밍 클렌저 150g 더블 기획,23,클렌징,클렌징폼/젤,클렌징폼/젤,4.9,1304,28000,21000.0
올리브영,아누아,아누아 어성초 포어 컨트롤 클렌징오일 200ml 더블 기획,24,클렌징,오일/밤,클렌징오일,4.7,8057,40000,24900.0
올리브영,한율,[+추가증정] 한율 쑥시카 쑥떡팩폼 (120ml+15ml),25,클렌징,클렌징폼/젤,팩클렌저,4.8,2735,28000,19950.0
올리브영,바닐라코, 바닐라코 클린잇제로 포어클래리파잉 클렌징밤 100ml 기획 (+미니어처키트 7ml*4개입),26,클렌징,오일/밤,클렌징밤,4.8,2656,20000,14800.0
올리브영,바이오더마,바이오더마 센시비오 H2O 500ml(클렌징워터),27,클렌징,워터/밀크,클렌징워터,4.9,62643,27000,17850.0
올리브영,프리메라, 프리메라 마일드 앤 퍼펙트 페이셜 필링 기획,28,클렌징,필링&스크럽,페이셜스크럽,4.8,9529,20000,15200.0
올리브영,넘버즈인,넘버즈인 1번 말끔 순삭 클렌징 오일 400ml 대용량 기획,29,클렌징,오일/밤,클렌징오일,4.8,11744,35000,24500.0
올리브영,휩드,휩드 비건 팩클렌저 튜브형 130g (5종 중 택1),30,클렌징,클렌징폼/젤,팩클렌저,4.8,1671,29000,22900.0
올리브영,아렌시아, 아렌시아 찹쌀떡솝 그린티 LHA 딥 포어 클렌저 150g 기획 (+스파츌라 브러쉬),31,클렌징,클렌징폼/젤,클렌징폼/젤,4.9,282,28000,22400.0
올리브영,몰바니, 몰바니 저자극 LHA 율피 젤 클렌저 200ml 기획 (+50ml),32,클렌징,클렌징폼/젤,클렌징폼/젤,4.9,8869,28000,19800.0
올리브영,폰즈, 폰즈 클리어 훼이스 스파 립&아이 리무버 120ml,33,클렌징,립&아이리무버,립&아이리무버,4.9,81629,10900,5900.0
올리브영,프리메라,프리메라 마일드 앤 퍼펙트 오일 투 폼 기획(200ml+200ml리필) / 단품,34,클렌징,클렌징폼/젤,클렌징폼/젤,4.7,1885,26000,19900.0
올리브영,에스트라, 에스트라 아토베리어365 버블클렌저 150ml,35,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,3405,20000,18000.0
올리브영,아누아,아누아 어성초 피지쏙 모공 폼 150ml 기획 (+25ml 증정),36,클렌징,클렌징폼/젤,클렌징폼/젤,4.7,928,14000,13500.0
올리브영,파파레서피," 파파레서피 효소 파우더 클렌저 50g 3종 택1 (블레미쉬(광채), 가지(보습), 티트리(진정))",37,클렌징,필링&스크럽,파우더워시,4.8,10484,18000,14400.0
올리브영,제로이드, 제로이드 더마뉴얼 클렌징젤 200ml 기획 (+25ml),38,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,359,22000,18820.0
올리브영,일리윤,일리윤 프레쉬 모이스춰 립앤아이 리무버 300ml,39,클렌징,립&아이리무버,립&아이리무버,4.7,16088,24000,14900.0
올리브영,아벤느,아벤느 클리낭스 클렌징 젤 400ml 더블 기획*피지잡는 *약산성클렌저,40,클렌징,클렌징폼/젤,클렌징폼/젤,4.7,11163,45000,37900.0
올리브영,키스미, 키스미 히로인메이크 스피디 마스카라 전용 리무버,41,클렌징,립&아이리무버,립&아이리무버,4.9,14913,13000,9900.0
올리브영,라운드랩, 라운드랩 1025 독도 클렌징 워터 1+1 기획 (400ml+400ml),42,클렌징,워터/밀크,클렌징워터,4.8,7056,18000,17500.0
올리브영,메이크프렘,메이크프렘 세이프 미 릴리프 모이스처 클렌징폼150ml 1+1기획,43,클렌징,클렌징폼/젤,클렌징폼/젤,4.7,26308,18000,15300.0
올리브영,센카, 센카 퍼펙트 휩 스피디 150mL +150mL 2입,44,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,3138,21900,18600.0
올리브영,오브제,오브제 블랙헤드 스크럽 밤 20g,45,클렌징,필링&스크럽,피지클리너,4.9,72,17800,12900.0
올리브영,폰즈, 폰즈 클리어 스파 립앤아이 리무버 300ml,46,클렌징,립&아이리무버,립&아이리무버,4.9,81629,24500,
올리브영,에스네이처, 에스네이처 아쿠아 라이스 클렌징오일 200ml,47,클렌징,오일/밤,클렌징오일,4.8,1045,24000,17900.0
올리브영,에이프릴스킨, 에이프릴스킨 핑크 알로에 팩 클렌저 리틀어피치 에디션(+세안스펀지 증정),48,클렌징,클렌징폼/젤,팩클렌저,4.7,289,24500,17900.0
올리브영,일소, 일소 슈퍼 멜팅 세범 클렌징오일 200ml 기획 (+듀얼클린브러쉬),49,클렌징,오일/밤,클렌징오일,4.9,122,20000,17900.0
올리브영,바닐라코, 바닐라코 클린잇제로 포어 클래리파잉 폼 클렌저 150ml 더블기획,50,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,3123,16000,12500.0
올리브영,메디필, 메디필 레드 락토 콜라겐 클리어 폼 2.0 기획 (300ml+딥 해면 구성),51,클렌징,클렌징폼/젤,클렌징폼/젤,4.7,16578,24000,
올리브영,메이크프렘,메이크프렘 세이프 미 릴리프 모이스처 클렌징밀크 200ml 기획(+100ml 리필),52,클렌징,워터/밀크,클렌징밀크/크림,4.8,7137,28000,
올리브영,비오텀,비오텀 클렌징 밀크 200ml,53,클렌징,워터/밀크,클렌징밀크/크림,4.8,3207,27800,
올리브영,아크네스, 아크네스 포밍워시 200㎖,54,클렌징,클렌징폼/젤,클렌징폼/젤,4.7,3510,16500,
올리브영,아렌시아, 아렌시아 떡솝 프레시 그린 클렌저 120g 기획 (+로즈힙 클렌저 15g),55,클렌징,클렌징폼/젤,클렌징폼/젤,4.7,3004,23000,19100.0
올리브영,마몽드, 마몽드 어메이징 딥 민트 클렌징밤 90ml 톰과 제리 에디션 (+헤어고정시트 증정),56,클렌징,오일/밤,클렌징밤,4.8,1311,27000,15900.0
올리브영,비건이펙트, 비건이펙트 그린 청보리 라하 딥 클렌징 오일 205ml(+폼 30ml),57,클렌징,오일/밤,클렌징오일,4.9,1360,24900,21600.0
올리브영,센카, 센카 퍼펙트 휩 아크네 케어 BT21 콜라보 100g,58,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,2227,9800,6800.0
올리브영,듀이트리,듀이트리 하이 아미노 올 클렌징 밀크 200ml (기획/단품),59,클렌징,워터/밀크,클렌징밀크/크림,4.7,1013,28500,19900.0
올리브영,에스트라,에스트라 테라크네365 클리어 딥 클렌징 폼 200g,60,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,2840,23000,19500.0
올리브영,라운드랩, 라운드랩 1025 독도 클렌저 200ml+200ml,61,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,965,28000,23500.0
올리브영,바이오더마,바이오더마 센시비오 미셀라 클렌징 오일 150ml,62,클렌징,오일/밤,클렌징오일,4.7,1562,32000,21850.0
올리브영,닥터지, 닥터지 약산성 레드 블레미쉬 클리어 수딩 폼 기획2종 택 1(150ml+75ml/150ml+150ml),63,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,9489,20000,15000.0
올리브영,메이크프렘,메이크프렘 세이프 미 릴리프 모이스처 클렌징오일 리필기획 (210ml+100ml 증정),64,클렌징,오일/밤,클렌징오일,4.8,5332,28000,21000.0
올리브영,바이오더마,바이오더마 센시비오 H2O eye 125ml (립앤아이리무버),65,클렌징,립&아이리무버,립&아이리무버,4.8,1552,18000,14400.0
올리브영,아리얼,아리얼 더 퍼펙트 클렌징 티슈 플러스 더블기획 (100매x2개입),66,클렌징,티슈/패드,클렌징티슈/패드,4.8,3861,19800,12200.0
올리브영,비페스타,비페스타 미셀라 립앤아이 메이크업 리무버 더블기획(145ml+145ml),67,클렌징,립&아이리무버,립&아이리무버,4.9,1225,22000,11900.0
올리브영,티스,티스 딥오프 오일 320mL 더블기획,68,클렌징,오일/밤,클렌징오일,4.8,1756,34000,25500.0
올리브영,맥스클리닉,맥스클리닉 포어리스 딥 클렌징 오일 200ml,69,클렌징,오일/밤,클렌징오일,5.0,88,24000,19200.0
올리브영,메디필, 메디필 그린 시카 콜라겐 클리어 폼 2.0 기획,70,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,4832,24000,
올리브영,휩드, 휩드 비건 팩스크럽 210g (3종 중 택1),71,클렌징,필링&스크럽,페이셜스크럽,4.8,288,30000,23900.0
올리브영,식물나라,식물나라 제주탄산수퀵앤딥클렌징티슈 100매,72,클렌징,티슈/패드,클렌징티슈/패드,4.7,19562,8800,5500.0
올리브영,한스킨,한스킨 클렌징오일&블랙헤드 PHA 400ml 대용량,73,클렌징,오일/밤,클렌징오일,5.0,4480,35000,22800.0
올리브영,닥터지, 닥터지 약산성 클렌징 젤 폼 200ml 기획 2종 택 1 (200ml+100ml / 200ml+200ml),74,클렌징,클렌징폼/젤,클렌징폼/젤,4.7,10189,25000,17500.0
올리브영,라운드어라운드,라운드어라운드 컴포트 그린티 트러블 버블폼 200ml 단품/리필기획,75,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,1350,16000,12800.0
올리브영,런드리유, 런드리유 클린 페이스 가글 스트롱 젤 투 폼 클렌저 기획세트(+여행용*2ea),76,클렌징,클렌징폼/젤,클렌징폼/젤,4.9,11351,22000,
올리브영,센카, 센카 올 클리어 오일 230ml,77,클렌징,오일/밤,클렌징오일,4.8,1130,18900,11500.0
올리브영,스킨시그널,스킨시그널 클레이 효소클렌저 3종 택1,78,클렌징,필링&스크럽,파우더워시,4.9,2338,25000,20000.0
올리브영,일소, 일소 슈퍼 멜팅 세범 소프트너 150ml 한정기획 (+솜40매+쿨링마사지기),79,클렌징,필링&스크럽,피지클리너,4.7,13429,28900,
올리브영,브링그린, 브링그린 티트리시카딥클렌징폼 120mL,80,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,149,10900,
올리브영,식물나라,식물나라 제주 탄산수 딥 모공 클렌징폼 150mL(단품 / 1+1기획),81,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,12564,12800,10800.0
올리브영,한스킨, 한스킨 클렌징오일&블랙헤드(300ml+30ml),82,클렌징,오일/밤,클렌징오일,4.8,1956,28000,19500.0
올리브영,식물나라,식물나라 제주 탄산수 휩 파워 클렌징폼 150m(단품/1+1기획),83,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,4091,12800,10800.0
올리브영,닥터지, 닥터지 그린딥 포어 클렌징밤 100ml,84,클렌징,오일/밤,클렌징밤,4.8,1240,24000,15000.0
올리브영,아리얼,아리얼 스트레스 릴리빙 립앤아이 리무버 패드 더블기획 (30매+30매),85,클렌징,립&아이리무버,립&아이리무버,4.9,4980,7800,5800.0
올리브영,비페스타,비페스타 클렌징오일 브라이트닝 230ml (각질&블랙헤드 제거),86,클렌징,오일/밤,클렌징오일,4.7,4427,16000,9900.0
올리브영,파티온,파티온 노스카나인 클렌징워터 500ml,87,클렌징,워터/밀크,클렌징워터,4.8,3475,18000,9900.0
올리브영,이즈앤트리, 이즈앤트리 참마 비건 밀크 클렌저 220ml 리필 기획 (+리필100ml),88,클렌징,워터/밀크,클렌징밀크/크림,4.8,4262,25000,
올리브영,히야 (HYAAH), 히야 마일드벗딥 클렌징 워터 300ml 기획 (+클렌징 패드 30매),89,클렌징,워터/밀크,클렌징워터,4.9,1573,30000,25000.0
올리브영,마녀공장, 마녀공장 딥 클리어 클렌징밤 132ml X2 기획,90,클렌징,오일/밤,클렌징밤,4.7,3632,47000,24900.0
올리브영,아벤느,아벤느 클리낭스 클렌징 젤 400ml 더블 기획*피지잡는 *약산성클렌저,91,클렌징,클렌징폼/젤,클렌징폼/젤,4.7,12064,45000,37900.0
올리브영,그레이멜린,그레이멜린 카놀라크레이지 클렌징오일 더블 기획,92,클렌징,오일/밤,클렌징오일,4.8,3268,18000,
올리브영,일리윤, 일리윤 세라마이드 더마6.0 클렌징워터폼 기획(250+30ML) 외 단품,93,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,2769,21000,16800.0
올리브영,스킨1004,스킨1004 마다가스카르 센텔라 앰플 폼 125ml,94,클렌징,클렌징폼/젤,클렌징폼/젤,4.9,858,14000,11200.0
올리브영,비플레인, 비플레인 녹두 밀크 필링 젤 120ml+40ml 기획,95,클렌징,필링&스크럽,페이셜스크럽,4.7,1575,22000,17600.0
올리브영,라씨엘르, 라씨엘르 엔자임 곡물 클렌징 파우더워시 기획 (본품60g + 10g 추가 증정),96,클렌징,필링&스크럽,파우더워시,4.8,5341,24000,16800.0
올리브영,라운드랩, 라운드랩 자작나무 수분 클렌저 150ml 기획 (+크림 20ml),97,클렌징,클렌징폼/젤,클렌징폼/젤,4.7,3277,15000,12900.0
올리브영,셀리맥스,셀리맥스 수정화장 패드 30매,98,클렌징,티슈/패드,클렌징티슈/패드,4.8,2421,16000,12800.0
올리브영,닥터자르트,닥터자르트 더마클리어 피에이치 폼 클렌저 120ml,99,클렌징,클렌징폼/젤,클렌징폼/젤,4.8,18,22000,
올리브영,아크네스, 아크네스 포하 딥 클렌징오일 200ml 기획 (+30ml 증정),100,클렌징,오일/밤,클렌징오일,5.0,102,20000,16000.0
