플랫폼,브랜드,제품명,대분류_순위,대분류,중분류,소분류,평점,후기 수,정가,할인가
올리브영,어뮤즈, 어뮤즈 세라믹 스킨 퍼펙터 쿠션 발레리나 에디션 한정 기획 (+리필+퍼프 증정),1,메이크업,베이스메이크업,쿠션,4.6,9122,38000,28500.0
올리브영,3CE, 3CE 캐시미어 허그 립스틱 10colors (기획세트 / 단품),2,메이크업,립메이크업,립스틱,4.7,1153,22000,16500.0
올리브영,롬앤, 롬앤 더 쥬시 래스팅 틴트 23 Color,3,메이크업,립메이크업,립틴트,4.7,152984,13000,9900.0
올리브영,에스쁘아, 에스쁘아 비벨벳 커버쿠션 SPF42 PA++ (본품+리필) 8 colors + 미니 파우더,4,메이크업,베이스메이크업,쿠션,4.7,13489,40000,28900.0
올리브영,에스쁘아, 에스쁘아 꾸뛰르 립틴트 글레이즈 20 colors,5,메이크업,립메이크업,립틴트,4.8,8504,22000,16500.0
올리브영,디어달리아, 디어달리아 리퀴드 블러쉬 (기획/단품),6,메이크업,베이스메이크업,블러셔,4.8,7588,25000,21250.0
올리브영,에스쁘아, 에스쁘아 아이 코어 팔레트 9g + 브러쉬 증정,7,메이크업,아이메이크업,아이섀도우,4.8,1768,36000,26600.0
올리브영,에스쁘아, 에스쁘아 비글로우 볼륨 쿠션 기획 (본품+리필+스틱 하이라이터 키링),8,메이크업,베이스메이크업,쿠션,4.6,6293,40000,28900.0
올리브영,토니모리, 토니모리 퍼펙트립스 쇼킹립 틴트 14종,9,메이크업,립메이크업,립틴트,4.6,5893,15000,11250.0
올리브영,컬러그램, 컬러그램 누디 블러 틴트 13 COLOR (기획/단품),10,메이크업,립메이크업,립틴트,4.8,14655,10000,8500.0
올리브영,에뛰드, 에뛰드 그림자 쉐딩 브라이트너+멀티 브러쉬 증정 기획 웜&쿨,11,메이크업,베이스메이크업,쉐이딩,4.8,15586,20000,16000.0
올리브영,에스쁘아, 에스쁘아 비글로우 파운데이션 30g 10 colors + 브러쉬 + 미니쿠션 공용기,12,메이크업,베이스메이크업,파운데이션,4.7,4673,42000,30900.0
올리브영,오브제, 오브제 커버로션 50g 어워즈 한정기획 (+미니어처 10g),13,메이크업,베이스메이크업,BB/CC,4.8,1201,29800,
올리브영,3CE, 3CE 블러쉬라이터 7colors (기획세트 / 단품),14,메이크업,베이스메이크업,블러셔,4.7,129,24000,19900.0
올리브영,클리오, 클리오 샤프 쏘 심플 워터프루프 펜슬라이너,15,메이크업,아이메이크업,아이라이너,4.7,103909,11000,
올리브영,투쿨포스쿨, 투쿨포스쿨 듀얼 컨투어 스틱 3colors,16,메이크업,베이스메이크업,쉐이딩,4.7,2520,15000,10900.0
올리브영,투크, 투크 워터프루프 슬림 아이라이너 16colors,17,메이크업,아이메이크업,아이라이너,4.7,30474,13900,
올리브영,오프라 코스메틱, 오프라 코스메틱 미니 하이라이터 9종,18,메이크업,베이스메이크업,하이라이터,4.8,9036,33000,30000.0
올리브영,투쿨포스쿨, 투쿨포스쿨 프로타주 펜슬 14colors (한정기획/단품),19,메이크업,아이메이크업,아이섀도우,4.7,56103,12000,10800.0
올리브영,에뛰드, [NEW 단독기획] 에뛰드 컬 픽스 마스카라_4 Colors,20,메이크업,아이메이크업,마스카라,4.8,39021,16000,12800.0
올리브영,어뮤즈, 어뮤즈 파우더 벨벳 틴트 한정 기획 (+미니리무버 증정),21,메이크업,립메이크업,립틴트,4.9,234,19000,16150.0
올리브영,키스미, 키스미 스무스 리퀴드 아이라이너 N 3종 1+1 한정기획,22,메이크업,아이메이크업,아이라이너,4.8,28827,18000,17800.0
올리브영,페리페라," 페리페라 올테이크 무드 팔레트 (+7,8호 컬러 마스카라 기획)",23,메이크업,아이메이크업,아이섀도우,4.8,3509,23000,17850.0
올리브영,VDL, VDL 커버 스테인 퍼펙팅 쿠션 리필 기획,24,메이크업,베이스메이크업,쿠션,4.7,3065,34000,28900.0
올리브영,페리페라,페리페라 스피디 스키니 브로우,25,메이크업,아이메이크업,아이브로우,4.8,58201,6000,5700.0
올리브영,에뛰드, [미러키링 증정] 에뛰드 왓츠 인 마이 아이즈 24 colors,26,메이크업,아이메이크업,아이섀도우,4.8,2796,6000,4500.0
올리브영,라네즈,라네즈 네오 톤업 피니시 파우더 7g,27,메이크업,베이스메이크업,파우더/팩트,4.7,849,29000,23200.0
올리브영,에이프릴스킨,에이프릴스킨 히어로 쿠션(본품+리필),28,메이크업,베이스메이크업,쿠션,4.6,7306,33000,23100.0
올리브영,정샘물,정샘물 에센셜 스킨 누더 쿠션 (본품+리필),29,메이크업,베이스메이크업,쿠션,4.7,23475,45000,42750.0
올리브영,하트퍼센트, 하트퍼센트 도트 온 무드 립펜슬 20colors (기획/단품),30,메이크업,립메이크업,립스틱,4.7,27244,14000,
올리브영,바닐라코, 바닐라코 얼티밋 화이트 쿠션 (+리필+픽서 기획),31,메이크업,베이스메이크업,쿠션,4.6,19469,38000,30400.0
올리브영,투쿨포스쿨, 투쿨포스쿨 스머징 트임 라이너 10colors,32,메이크업,아이메이크업,아이라이너,4.7,11257,12000,9600.0
올리브영,3CE, 3CE 블러 워터 틴트,33,메이크업,립메이크업,립틴트,4.7,28039,18000,12600.0
올리브영,홀리카홀리카, 홀리카홀리카 마이페이브 피스 아이섀도우/ 피스빔,34,메이크업,아이메이크업,아이섀도우,4.8,67958,6000,4800.0
올리브영,웨이크메이크, 웨이크메이크 소프트 블러링 아이팔레트 (기획/단품),35,메이크업,아이메이크업,아이섀도우,4.8,44806,34000,23800.0
올리브영,퓌, 퓌 립앤치크 블러리 푸딩팟 (+미니 립브러쉬 증정),36,메이크업,베이스메이크업,블러셔,4.6,14472,22000,16500.0
올리브영,더샘, 더샘 커버 퍼펙션 트리플 팟 컨실러 7colors,37,메이크업,베이스메이크업,컨실러,4.7,37689,12000,10800.0
올리브영,정샘물, 정샘물 스킨 세팅 베이스 6종,38,메이크업,베이스메이크업,프라이머/베이스,4.6,1890,33000,
올리브영,에뛰드, NEW 에뛰드 클라우드 필터쿠션리필 + 퍼프 2매 기획 세트,39,메이크업,베이스메이크업,쿠션,4.6,1091,26000,19500.0
올리브영,VDL,"VDL 커버스테인 퍼펙팅 파운데이션 30ml (+휴대용파데, 퍼프기획/ 단품)",40,메이크업,베이스메이크업,파운데이션,4.7,9338,30000,
