플랫폼,브랜드,제품명,대분류_순위,대분류,중분류,소분류,평점,후기 수,정가,할인가
올리브영,더마토리, 더마토리 히알루론 수분샘 엠보 패드 60매+10매 기획,1,마스크팩,패드,패드,4.6,8,26000,17600.0
올리브영,더마토리, 더마토리 시카 엑소좀 흔적 진정 거즈 패드 70매+10매 기획,2,마스크팩,패드,패드,4.9,14,26000,17600.0
올리브영,더마토리, 더마토리 살리시닉 포어 클리어 블랙 패드 70매+10매 기획 세트,3,마스크팩,패드,패드,4.9,143,26000,17600.0
올리브영,메디힐, 메디힐 네모패드 100+100매 더블기획 7종 골라담기,4,마스크팩,패드,패드,4.7,26581,39900,28900.0
올리브영,메디힐, 메디힐 에센셜 마스크팩 1매 고기능 7종 택1,5,마스크팩,시트팩,시트팩,4.9,229962,2000,1000.0
올리브영,메디힐, 메디힐 마데카소사이드 에센셜 마스크 흔적 리페어,6,마스크팩,시트팩,시트팩,4.9,29652,20000,10000.0
올리브영,메디힐, 메디힐 네모패드 100매 피부 고민별 골라담기,7,마스크팩,패드,패드,4.7,26580,26000,17900.0
올리브영,마몽드, 마몽드 플로라 글로우 로즈 리퀴드 마스크 80ml 톰과 제리 에디션 (+스마트톡 증정),8,마스크팩,페이셜팩,워시오프팩,4.8,3723,37000,29500.0
올리브영,스킨푸드, 스킨푸드 캐롯 카로틴 카밍 워터 패드 60매+30매 한정기획 (+10매+캐롯시트 1매),9,마스크팩,패드,패드,4.8,13476,32000,21900.0
올리브영,SNP,SNPx유미어스 글루타치온 다크 제로 토닝 패치 더블 기획(60매+60매+토끼찡 스티커),10,마스크팩,패치,패치,4.8,2628,34000,27300.0
올리브영,토리든,토리든 다이브인 저분자 히알루론산 마스크 10매,11,마스크팩,시트팩,시트팩,4.9,2830,30000,14350.0
올리브영,한율, 한율 5분 잡티톤업패드/트러블진정패드/모공청소패드 (달빛유자/어린쑥/부들밤),12,마스크팩,패드,패드,4.8,2425,29000,17900.0
올리브영,메디큐브, 메디큐브 제로모공패드 2.0 140매 기획 (70매 + 70매 리필),13,마스크팩,패드,패드,4.7,6497,33000,28900.0
올리브영,메디힐, 메디힐 에센셜 마스크팩 10매 고기능 7종 택1,14,마스크팩,시트팩,시트팩,4.9,338313,20000,10000.0
올리브영,넘버즈인, 넘버즈인 토너패드 리필기획 3종 중 택 1 (1번/4번/5번),15,마스크팩,패드,패드,4.8,14759,42000,27300.0
올리브영,바이오던스, 바이오던스 바이오 콜라겐 리얼 딥 마스크 7매,16,마스크팩,시트팩,시트팩,4.7,12119,35000,29900.0
