플랫폼,브랜드,제품명,대분류_순위,대분류,중분류,소분류,평점,후기 수,정가,할인가
올리브영,달바, 달바 핑크 톤업 선크림 듀오 기획 (50ml+50ml),1,선케어,선크림,선크림,4.7,7408,51000,35700.0
올리브영,이지듀, 이지듀 기미 앰플 쿠션 15g,2,선케어,선쿠션,선쿠션,4.6,175,39800,36900.0
올리브영,구달, 구달 맑은 어성초 진정 수분 선크림 50ml 1+1기획,3,선케어,선크림,선크림,4.8,28908,20000,17500.0
올리브영,라운드랩, 라운드랩 자작나무 수분 선크림 50ml 기획 (+클렌저 20ml),4,선케어,선크림,선크림,4.8,14207,25000,17500.0
올리브영,라로슈포제, 라로슈포제 시카플라스트 리페어 선크림 40ml 기획 (+시카토너50ml+시카밤3ml 증정),5,선케어,선크림,선크림,4.7,137,34000,25000.0
올리브영,비플레인, 비플레인 녹두 쿨링 수분 선크림 50ml 1+1 기획,6,선케어,선크림,선크림,4.8,20,25000,22570.0
올리브영,닥터지, 닥터지 그린 마일드 업 선 플러스 기획 2종 택 1 (50ml+20ml/40ml+40ml),7,선케어,선크림,선크림,4.8,19989,29000,21900.0
올리브영,아누아, 아누아 매트벗글로우 커버 베이지 50ml 더블 기획,8,선케어,선크림,선크림,4.6,3830,51000,34900.0
올리브영,아누아, 아누아 매트벗글로우 커버 베이지 50ml,9,선케어,선크림,선크림,4.5,954,28000,19500.0
올리브영,넘버즈인, 넘버즈인 3번 도자기결 파데스킵 톤업베이지 35ml+35ml (SPF50+ PA++++),10,선케어,선크림,선크림,4.6,10772,26000,
올리브영,브링그린, 브링그린 알로에 97% 수딩젤 300mL_더블기획 / 단품,11,선케어,태닝/애프터선,애프터선,4.8,1068,6800,6300.0
올리브영,아이레놀," 아이레놀 쌩얼크림 2종 50ml (SPF 50+,PA++++)",12,선케어,선크림,선크림,4.7,1224,19800,18800.0
올리브영,아떼, 아떼 비건 릴리프 무기자차 선크림 단품/기획,13,선케어,선크림,선크림,4.8,3501,42000,24900.0
올리브영,식물나라,식물나라 뽀얀쌀 생기 톤업 선 쿠션 3종 택1(단품/리필 기획),14,선케어,선쿠션,선쿠션,4.6,1342,24800,16800.0
올리브영,넘버즈인, 넘버즈인 1번 청초 진정맑은 물막선크림 50ml+50ml 듀오기획 (SPF50+PA++++),15,선케어,선크림,선크림,4.8,5105,26000,
올리브영,톤핏선, 톤핏선 비건 선쿠션 2종 택1 (핑베톤업/듀이커버) SPF50+ PA++++,16,선케어,선쿠션,선쿠션,4.7,3935,24000,19200.0
올리브영,닥터지, 닥터지 레드 블레미쉬 수딩 업 선 기획 2종 택 1 (50ml+20ml/50ml+50ml),17,선케어,선크림,선크림,4.8,2907,29000,20800.0
올리브영,닥터지, 닥터지 브라이트닝 업 선 플러스 기획 2종 택 1 (50ml+20ml/40ml+40ml),18,선케어,선크림,선크림,4.8,9315,32000,22900.0
올리브영,에스쁘아, 에스쁘아 워터 스플래쉬 선크림 세라마이드 60ml (+20ml 추가 증정),19,선케어,선크림,선크림,4.7,3754,22000,17600.0
