ranking,brand,product,or_price,dis_price,main_class,mid_class,sub_class,review_num,review_score
1,휩드,[2월 올영픽] 휩드 비건 팩클렌저 130g 기획/단품 (무화버터/머그트리/유자몽),"29,000","22,900",클렌징,클렌징폼/젤,클렌징폼/젤,"(2,162건)",4.8
2,마녀공장,[4년연속1위]마녀공장 퓨어 클렌징 오일 200mlX2 더블기획,"37,000","25,900",클렌징,오일/밤,클렌징오일,"(13,929건)",4.9
3,바이오더마,[2월 올영픽]바이오더마 센시비오 H2O 850ml 기획 (+K2 콜라보 폴딩 에코백),"37,500","22,900",클렌징,워터/밀크,클렌징워터,"(82,075건)",4.9
4,비플레인,[한정수량] 비플레인 녹두 약산성 클렌징폼 160ml + 40ml 기획,"21,900","18,600",클렌징,클렌징폼/젤,클렌징폼/젤,"(10,743건)",4.8
5,바닐라코,[1등 클렌징밤] 바닐라코 클린잇제로 오리지널 클렌징밤 100ml 기획 (+미니어처키트 7ml*4개입),"20,000","14,800",클렌징,오일/밤,클렌징밤,"(4,121건)",4.9
6,일소,[2월올영픽/270만개판매] 일소 슈퍼 멜팅 세범 소프트너 150ml 기획 (+솜 40매 증정),"21,000","17,900",클렌징,필링&스크럽,피지클리너,"(12,860건)",4.7
7,아렌시아,[2월 올영픽] 아렌시아 프레시 떡솝 클렌저 120g 기획 3종 택1 (그린/로즈힙/블루히솝),"23,000","19,100",클렌징,클렌징폼/젤,클렌징폼/젤,"(3,816건)",4.7
8,풀리,풀리 비건 그린 토마토 클레이 팩 클렌저 120ml,"24,000","17,900",클렌징,클렌징폼/젤,팩클렌저,"(2,244건)",4.8
9,토리든,토리든 다이브인 저분자 히알루론산 클렌징 폼 더블 기획 (150ml+150ml),"26,000","17,390",클렌징,클렌징폼/젤,클렌징폼/젤,"(9,457건)",4.8
10,센카,[2월 올영픽]센카 퍼펙트 휩 페이셜 워시 120g BT21 콜라보 더블 기획 (+15g),"17,600","11,900",클렌징,클렌징폼/젤,클렌징폼/젤,"(2,131건)",4.9
11,마녀공장,[1+1]마녀공장 퓨어&딥 클렌징 폼 1+1 기획 (120ml+120ml),"14,000","11,400",클렌징,클렌징폼/젤,클렌징폼/젤,"(35,694건)",4.8
12,라로슈포제,[2월 올영픽] 라로슈포제 똘러리앙 포밍 클렌저 125ml 더블 기획 (+15ml*2 증정),"60,000","39,900",클렌징,클렌징폼/젤,클렌징폼/젤,"(1,988건)",4.8
13,에이프릴스킨,[6관왕 당근밤]에이프릴스킨 캐로틴 클렌징밤 기획세트(+코 칫솔 증정),"21,000","19,000",클렌징,오일/밤,클렌징밤,"(4,373건)",4.7
14,비건이펙트,"[요철모공/수분장벽] 비건이펙트 그린 청보리 라하 젤클렌저 205ml 트롤콜라보기획 (+토너패드 4매,하트키링)","22,000","19,000",클렌징,클렌징폼/젤,클렌징폼/젤,"(1,918건)",4.7
15,제로이드,[2월 올영픽] 제로이드 포밍 클렌저 240ml,"22,000","18,810",클렌징,클렌징폼/젤,클렌징폼/젤,(607건),4.8
