ranking,brand,product,or_price,dis_price,main_class,mid_class,sub_class,review_num,review_score
1,어뮤즈,[신규컬러/단독기획] 어뮤즈 세라믹 스킨 퍼펙터 쿠션 발레리나 에디션 한정 기획 (+리필+퍼프 증정),"38,000","28,500",메이크업,베이스메이크업,쿠션,"(9,122건)",4.6
2,3CE,[2월올영픽] 3CE 캐시미어 허그 립스틱 10colors (기획세트 / 단품),"22,000","16,500",메이크업,립메이크업,립스틱,"(1,153건)",4.7
3,롬앤,[2024 어워즈/NEW] 롬앤 더 쥬시 래스팅 틴트 23 Color,"13,000","9,900",메이크업,립메이크업,립틴트,"(152,984건)",4.7
4,에스쁘아,[2월 올영픽/선런칭] 에스쁘아 비벨벳 커버쿠션 SPF42 PA++ (본품+리필) 8 colors + 미니 파우더,"40,000","28,900",메이크업,베이스메이크업,쿠션,"(13,489건)",4.7
5,에스쁘아,[2월 올영픽/단독기획] 에스쁘아 꾸뛰르 립틴트 글레이즈 20 colors,"22,000","16,500",메이크업,립메이크업,립틴트,"(8,504건)",4.8
6,디어달리아,[2024 어워즈] 디어달리아 리퀴드 블러쉬 (기획/단품),"25,000","21,250",메이크업,베이스메이크업,블러셔,"(7,588건)",4.8
7,에스쁘아,[2월 올영픽/단독선런칭] 에스쁘아 아이 코어 팔레트 9g + 브러쉬 증정,"36,000","26,600",메이크업,아이메이크업,아이섀도우,"(1,768건)",4.8
8,에스쁘아,[2월 올영픽/단독기획] 에스쁘아 비글로우 볼륨 쿠션 기획 (본품+리필+스틱 하이라이터 키링),"40,000","28,900",메이크업,베이스메이크업,쿠션,"(6,293건)",4.6
9,토니모리,[100시간 지속] 토니모리 퍼펙트립스 쇼킹립 틴트 14종,"15,000","11,250",메이크업,립메이크업,립틴트,"(5,893건)",4.6
10,컬러그램,[립펜슬기획] 컬러그램 누디 블러 틴트 13 COLOR (기획/단품),"10,000","8,500",메이크업,립메이크업,립틴트,"(14,655건)",4.8
11,에뛰드,[2월올영픽_포카증정 /NEW기획] 에뛰드 그림자 쉐딩 브라이트너+멀티 브러쉬 증정 기획 웜&쿨,"20,000","16,000",메이크업,베이스메이크업,쉐이딩,"(15,586건)",4.8
12,에스쁘아,[2월 올영픽/단독기획] 에스쁘아 비글로우 파운데이션 30g 10 colors + 브러쉬 + 미니쿠션 공용기,"42,000","30,900",메이크업,베이스메이크업,파운데이션,"(4,673건)",4.7
13,오브제,[2024 어워즈] 오브제 커버로션 50g 어워즈 한정기획 (+미니어처 10g),"29,800",,메이크업,베이스메이크업,BB/CC,"(1,201건)",4.8
14,3CE,[2월올영픽 / 하루특가 / 브러쉬 기획] 3CE 블러쉬라이터 7colors (기획세트 / 단품),"24,000","19,900",메이크업,베이스메이크업,블러셔,(129건),4.7
15,클리오,[NO.1 아이라이너] 클리오 샤프 쏘 심플 워터프루프 펜슬라이너,"11,000",,메이크업,아이메이크업,아이라이너,"(103,909건)",4.7
16,투쿨포스쿨,[NEW컬러/오똑코 메이커] 투쿨포스쿨 듀얼 컨투어 스틱 3colors,"15,000","10,900",메이크업,베이스메이크업,쉐이딩,"(2,520건)",4.7
17,투크,[2024 어워즈/NEW 컬러 출시] 투크 워터프루프 슬림 아이라이너 16colors,"13,900",,메이크업,아이메이크업,아이라이너,"(30,474건)",4.7
18,오프라 코스메틱,[NEW컬러] 오프라 코스메틱 미니 하이라이터 9종,"33,000","30,000",메이크업,베이스메이크업,하이라이터,"(9,036건)",4.8
19,투쿨포스쿨,[2024 어워즈/2년연속수상] 투쿨포스쿨 프로타주 펜슬 14colors (한정기획/단품),"12,000","10,800",메이크업,아이메이크업,아이섀도우,"(56,103건)",4.7
20,에뛰드,[2월 올영픽/포카 증정] [NEW 단독기획] 에뛰드 컬 픽스 마스카라_4 Colors,"16,000","12,800",메이크업,아이메이크업,마스카라,"(39,021건)",4.8
21,어뮤즈,[단독기획/단독컬러] 어뮤즈 파우더 벨벳 틴트 한정 기획 (+미니리무버 증정),"19,000","16,150",메이크업,립메이크업,립틴트,(234건),4.9
22,키스미,[1+1] 키스미 스무스 리퀴드 아이라이너 N 3종 1+1 한정기획,"18,000","17,800",메이크업,아이메이크업,아이라이너,"(28,827건)",4.8
23,페리페라,"[NCT 도영&정우 스티커 증정] 페리페라 올테이크 무드 팔레트 (+7,8호 컬러 마스카라 기획)","23,000","17,850",메이크업,아이메이크업,아이섀도우,"(3,509건)",4.8
24,VDL,[리뉴얼/매끈필터쿠션] VDL 커버 스테인 퍼펙팅 쿠션 리필 기획,"34,000","28,900",메이크업,베이스메이크업,쿠션,"(3,065건)",4.7
25,페리페라,페리페라 스피디 스키니 브로우,"6,000","5,700",메이크업,아이메이크업,아이브로우,"(58,201건)",4.8
26,에뛰드,[2월 올영픽/포카 증정] [미러키링 증정] 에뛰드 왓츠 인 마이 아이즈 24 colors,"6,000","4,500",메이크업,아이메이크업,아이섀도우,"(2,796건)",4.8
27,라네즈,라네즈 네오 톤업 피니시 파우더 7g,"29,000","23,200",메이크업,베이스메이크업,파우더/팩트,(849건),4.7
28,에이프릴스킨,[품절대란/밀착커버]에이프릴스킨 히어로 쿠션(본품+리필),"33,000","23,100",메이크업,베이스메이크업,쿠션,"(7,306건)",4.6
29,정샘물,정샘물 에센셜 스킨 누더 쿠션 (본품+리필),"45,000","42,750",메이크업,베이스메이크업,쿠션,"(23,475건)",4.7
30,하트퍼센트,[NEW/단독기획] 하트퍼센트 도트 온 무드 립펜슬 20colors (기획/단품),"14,000",,메이크업,립메이크업,립스틱,"(27,244건)",4.7
31,바닐라코,[2024 어워즈/픽서증정] 바닐라코 얼티밋 화이트 쿠션 (+리필+픽서 기획),"38,000","30,400",메이크업,베이스메이크업,쿠션,"(19,469건)",4.6
32,투쿨포스쿨,[코코초 Pick/NEW컬러] 투쿨포스쿨 스머징 트임 라이너 10colors,"12,000","9,600",메이크업,아이메이크업,아이라이너,"(11,257건)",4.7
33,3CE,[2월올영픽] 3CE 블러 워터 틴트,"18,000","12,600",메이크업,립메이크업,립틴트,"(28,039건)",4.7
34,홀리카홀리카,[2024어워즈/한정기획] 홀리카홀리카 마이페이브 피스 아이섀도우/ 피스빔,"6,000","4,800",메이크업,아이메이크업,아이섀도우,"(67,958건)",4.8
35,웨이크메이크,[오징어게임] 웨이크메이크 소프트 블러링 아이팔레트 (기획/단품),"34,000","23,800",메이크업,아이메이크업,아이섀도우,"(44,806건)",4.8
36,퓌,[2024 어워즈/NEW컬러] 퓌 립앤치크 블러리 푸딩팟 (+미니 립브러쉬 증정),"22,000","16,500",메이크업,베이스메이크업,블러셔,"(14,472건)",4.6
37,더샘,[2024 베이스 1위/NEW컬러 출시] 더샘 커버 퍼펙션 트리플 팟 컨실러 7colors,"12,000","10,800",메이크업,베이스메이크업,컨실러,"(37,689건)",4.7
38,정샘물,[NEW] 정샘물 스킨 세팅 베이스 6종,"33,000",,메이크업,베이스메이크업,프라이머/베이스,"(1,890건)",4.6
39,에뛰드,[2월올영픽_포카증정/선크림50ml선착순] NEW 에뛰드 클라우드 필터쿠션리필 + 퍼프 2매 기획 세트,"26,000","19,500",메이크업,베이스메이크업,쿠션,"(1,091건)",4.6
40,VDL,"VDL 커버스테인 퍼펙팅 파운데이션 30ml (+휴대용파데, 퍼프기획/ 단품)","30,000",,메이크업,베이스메이크업,파운데이션,"(9,338건)",4.7
41,오브제,[덱스 PICK] 오브제 내추럴 커버 파운데이션 기획세트(+클렌징폼 50ml),"36,800","29,800",메이크업,베이스메이크업,파운데이션,"(5,165건)",4.8
42,파넬,[진정커버] 파넬 시카마누 세럼쿠션 기획 (본품+리필),"37,000","33,300",메이크업,베이스메이크업,쿠션,"(5,681건)",4.5
43,데이지크,[NEW/리뷰이벤트] 데이지크 퓨어 워터 립 글로스 16종 중 택1,"18,000","11,340",메이크업,립메이크업,립글로스,(792건),4.7
44,에뛰드,[브러쉬 증정기획] 에뛰드 재창조 메이커 쉐딩 스틱 브러쉬 한정 기획 /단품 (웜&쿨),"14,000","11,200",메이크업,베이스메이크업,쉐이딩,"(16,625건)",4.7
45,네이밍,[단독기획] 네이밍 레이어드 핏 쿠션 기획 (본품+리필),"34,000","29,700",메이크업,베이스메이크업,쿠션,"(12,763건)",4.7
46,라네즈,라네즈 네오 쿠션 글로우 15g 기획/단품,"30,000","24,000",메이크업,베이스메이크업,쿠션,"(1,671건)",4.6
47,코스노리,[27관왕] 코스노리 화이트닝 드레스 비건 톤업크림,"20,000","16,000",메이크업,베이스메이크업,프라이머/베이스,"(15,874건)",4.6
48,웨이크메이크,웨이크메이크 스테이 픽서 멀티 컬러 파우더 4COLOR (단품/브러시기획),"29,000","15,400",메이크업,베이스메이크업,파우더/팩트,"(5,594건)",4.6
49,코스노리,[28관왕] 코스노리 롱 액티브 아이래쉬 세럼 비건 속눈썹영양제,"18,000","14,400",메이크업,아이메이크업,마스카라,"(33,833건)",4.7
50,코스노리,[블랙영양제] 코스노리 아이래쉬 틴팅 세럼 비건 블랙 속눈썹영양제,"18,000","14,400",메이크업,아이메이크업,마스카라,"(10,122건)",4.7
51,페리페라,[우정 공동개발] 페리페라 시럽피 톡 치크,"14,000","11,200",메이크업,베이스메이크업,블러셔,(277건),4.7
52,코스노리,[NEW컬러] 코스노리 판테놀 비건 글로우 쿠션 (단품/기획),"32,000","22,400",메이크업,베이스메이크업,쿠션,"(2,522건)",4.7
53,퓌,퓌 3D 볼류밍 글로스 12컬러 (30%/70%),"18,000","13,500",메이크업,립메이크업,립글로스,"(6,167건)",4.7
54,에스쁘아,[2월 올영픽/단독기획] 에스쁘아 더브로우 밸런스 펜슬 (+눈썹 숱가위 증정),"16,000","12,500",메이크업,아이메이크업,아이브로우,"(24,164건)",4.8
55,웨이크메이크,[1+1 기획] 웨이크메이크 내추럴 하드 브로우 펜슬 5 COLOR,"13,000","11,700",메이크업,아이메이크업,아이브로우,"(30,397건)",4.7
56,롬앤,롬앤 글래스팅 멜팅 밤 (기획/단품),"13,000","9,900",메이크업,립메이크업,립밤,"(36,326건)",4.7
57,페리페라,페리페라 스피디 스키니 브로우 마스카라,"8,000","7,700",메이크업,아이메이크업,아이브로우,"(10,413건)",4.7
58,홀리카홀리카,홀리카홀리카 마이페이브 무드 아이팔레트,"28,000","21,000",메이크업,아이메이크업,아이섀도우,"(11,699건)",4.8
59,딘토,[올영어워즈 한정기획] 딘토 블러글로이 립 틴트 30colors (+미니 속광치크 증정),"20,000","14,000",메이크업,립메이크업,립틴트,"(15,461건)",4.7
60,3CE,[2월올영픽 / NEW] 3CE 글레이지 립 글로우 9colors,"21,000","17,800",메이크업,립메이크업,립스틱,(250건),4.8
