ranking,brand,product,or_price,dis_price,main_class,mid_class,sub_class,review_num,review_score
1,더마토리,[리뉴얼] 더마토리 히알루론 수분샘 엠보 패드 60매+10매 기획,"26,000","17,600",마스크팩,패드,패드,(8건),4.6
2,더마토리,[리뉴얼] 더마토리 시카 엑소좀 흔적 진정 거즈 패드 70매+10매 기획,"26,000","17,600",마스크팩,패드,패드,(14건),4.9
3,더마토리,[인씨 PICK/리뉴얼] 더마토리 살리시닉 포어 클리어 블랙 패드 70매+10매 기획 세트,"26,000","17,600",마스크팩,패드,패드,(143건),4.9
4,메디힐,[51관왕/200매] 메디힐 네모패드 100+100매 더블기획 7종 골라담기,"39,900","28,900",마스크팩,패드,패드,"(26,581건)",4.7
5,메디힐,[13년연속 1위] 메디힐 에센셜 마스크팩 1매 고기능 7종 택1,"2,000","1,000",마스크팩,시트팩,시트팩,"(229,962건)",4.9
6,메디힐,[10+1매] 메디힐 마데카소사이드 에센셜 마스크 흔적 리페어,"20,000","10,000",마스크팩,시트팩,시트팩,"(29,652건)",4.9
7,메디힐,[51관왕 No.1] 메디힐 네모패드 100매 피부 고민별 골라담기,"26,000","17,900",마스크팩,패드,패드,"(26,580건)",4.7
8,마몽드,[최초 더블 기획_2월 올영픽] 마몽드 플로라 글로우 로즈 리퀴드 마스크 80ml 톰과 제리 에디션 (+스마트톡 증정),"37,000","29,500",마스크팩,페이셜팩,워시오프팩,"(3,723건)",4.8
9,스킨푸드,[2024어워즈/4년연속수상] 스킨푸드 캐롯 카로틴 카밍 워터 패드 60매+30매 한정기획 (+10매+캐롯시트 1매),"32,000","21,900",마스크팩,패드,패드,"(13,476건)",4.8
10,SNP,[2월올영픽]SNPx유미어스 글루타치온 다크 제로 토닝 패치 더블 기획(60매+60매+토끼찡 스티커),"34,000","27,300",마스크팩,패치,패치,"(2,628건)",4.8
11,토리든,토리든 다이브인 저분자 히알루론산 마스크 10매,"30,000","14,350",마스크팩,시트팩,시트팩,"(2,830건)",4.9
12,한율,[유트루PICK] 한율 5분 잡티톤업패드/트러블진정패드/모공청소패드 (달빛유자/어린쑥/부들밤),"29,000","17,900",마스크팩,패드,패드,"(2,425건)",4.8
13,메디큐브,[대용량/모공각질] 메디큐브 제로모공패드 2.0 140매 기획 (70매 + 70매 리필),"33,000","28,900",마스크팩,패드,패드,"(6,497건)",4.7
14,메디힐,[16관왕/10매] 메디힐 에센셜 마스크팩 10매 고기능 7종 택1,"20,000","10,000",마스크팩,시트팩,시트팩,"(338,313건)",4.9
15,넘버즈인,[총140매] 넘버즈인 토너패드 리필기획 3종 중 택 1 (1번/4번/5번),"42,000","27,300",마스크팩,패드,패드,"(14,759건)",4.8
16,바이오던스,[2024 어워즈] 바이오던스 바이오 콜라겐 리얼 딥 마스크 7매,"35,000","29,900",마스크팩,시트팩,시트팩,"(12,119건)",4.7
17,프리메라,[2월올영픽/4+1] 프리메라 비타티놀 세럼 메가-샷 겔마스크 기획/단품,"28,000","20,900",마스크팩,시트팩,시트팩,"(1,472건)",4.7
18,비건이펙트,[속광팩/피부보습/탄력&모공팩]비건이펙트 랩핑 저분자 콜라겐팩,"22,500","21,300",마스크팩,페이셜팩,필오프팩,"(1,269건)",4.9
19,토르홉,[2월 올영픽/온열소금팩] 토르홉 사우난지앙 솔트마스크 90g+15g 한정 기획,"31,500","24,500",마스크팩,페이셜팩,워시오프팩,"(4,021건)",4.7
