ranking,brand,product,or_price,dis_price,main_class,mid_class,sub_class,review_num,review_score
1,에스트라,[2월올영픽/1등크림] 에스트라 아토베리어365 크림 80ML 더블기획 (+세라히알 앰플 7ML+에이시카 세럼 3ML),"59,400","44,500",스킨케어,크림,크림,"(25,321건)",4.9
2,에스트라,[50%용량증정]에스트라 아토베리어365 세라-히알 속수분 앰플 30ML+15ML 기획,"33,000","24,700",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(1,957건)",4.8
3,에스트라,[2월올영픽]에스트라 아토베리어365 로션 150ml 리필 기획 (+150ML 리필 파우치 + 에이시카 세럼 3ML),"53,400","39,900",스킨케어,로션,로션,"(2,688건)",4.9
4,바이오힐보,[2월 올영픽/PDRN 키트증정] 바이오힐보 프로바이오덤 콜라겐 리모델링 세럼 30ml 리필 기획 (+프로그램14ml),"49,500","27,300",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(2,226건)",4.7
5,구달,[세럼1위/6년연속수상/총 120ml 대용량]구달 청귤 비타C 잡티케어 세럼 70ml 대용량 어워즈 한정기획,"50,000","32,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(28,846건)",4.8
6,바이오더마,[2월 올영픽/40ml 본품증정]바이오더마 시카비오 크림+ 100ml 기획 (+40ml 증정),"43,000","33,900",스킨케어,크림,크림,"(3,561건)",4.8
7,토리든,[단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필기획(+리필팩 50ml),"36,000","27,000",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(39,708건)",4.9
8,에스트라,[2월 올영픽] [안개분사미스트]에스트라 아토베리어365 크림미스트 120ml,"23,000","17,200",스킨케어,미스트/오일,미스트/픽서,"(8,269건)",4.7
9,닥터자르트,[한정수량1+1] 닥터자르트 시카페어 인텐시브 수딩 리페어 세럼 30ml 1+1 기획,"49,000","41,650",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,(386건),4.8
10,라로슈포제,[2월 올영픽/올영 단독] 라로슈포제 시카플라스트 밤 B5+ 200ml 기획 (+시카PRO마스크 1매),"70,000","49,900",스킨케어,크림,크림,"(21,891건)",4.8
11,차앤박,[2월 올영픽/재유PICK] 차앤박 더마앤서 액티브 부스트 PDRN앰플 30ml 기획 (+15ml 증정),"39,000","26,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(4,954건)",4.9
12,웰라쥬,[대용량150ml] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 1+1 기획,"46,000","29,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(25,115건)",4.8
13,바이오더마,[2월 올영픽]바이오더마 시카비오 포마드 100ml(리페어 리치 밤),"38,000","28,900",스킨케어,크림,크림,"(11,483건)",4.8
14,바이오힐보,[모공탄력/PDRN키트증정]바이오힐보 프로바이오덤 콜라겐 리모델링 세럼 30ml+30ml 더블기획,"49,500","27,300",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(1,401건)",4.7
15,셀라딕스,[트러블/모공개선] 셀라딕스 세범 리밸런싱 RX 131 앰플,"28,900","25,400",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(1,277건)",4.7
16,차앤박,[2월 올영픽] 차앤박 프로폴리스 에너지 액티브 앰플 30ml 트리플 기획,"74,000","42,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(4,069건)",4.8
17,에스네이처,[2년연속수상/1+1] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 더블 기획(60ml+60ml),"43,000","23,500",스킨케어,크림,크림,"(27,393건)",4.8
18,닥터지,[1등크림/구매인증이벤트]닥터지 레드 블레미쉬 클리어 수딩 크림 기획세트 (100ml/150ml구성),"38,000","26,600",스킨케어,크림,크림,"(27,478건)",4.8
19,바이오더마,[2월 올영픽/화장솜 증정] 바이오더마 하이드라비오 에센스 로션 200ml(화장솜 증정),"35,000","23,500",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(10,541건)",4.8
20,라네즈,[2월 올영픽] 라네즈 크림스킨 170ml 리필기획 (+170ml 리필+미스트펌프 증정),"33,000","23,700",스킨케어,스킨/토너,스킨/토너,"(11,581건)",4.8
21,바이오힐보,[1등탄력]바이오힐보 프로바이오덤 3D 리프팅 크림 50ml 리필기획 (+윤곽마스크 2매)(올리지오 콜라보),"75,800","40,900",스킨케어,크림,크림,"(2,519건)",4.8
22,메디큐브,[1+1/흔적미백] 메디큐브 연어 PDRN 핑크 앰플 더블기획 (30ml+30ml),"46,000","25,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(2,506건)",4.7
23,라로슈포제,[2월 올영픽] 라로슈포제 시카플라스트 크림 B5 100ml 기획 (+시카토너 50ml+시카크림 3ml 증정),"50,000","38,100",스킨케어,크림,크림,"(4,152건)",4.7
24,파티온,[아랑 PICK] 파티온 노스카나인 트러블 세럼 기획 (50ml+15ml),"38,000","27,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(35,014건)",4.9
25,반코르,반코르 닥터 덱스판테놀 크림 60ml,"22,500","19,130",스킨케어,크림,크림,(149건),4.7
26,토리든,토리든 다이브인 수딩 크림 더블 기획세트(100ml+100ml),"42,000","29,400",스킨케어,크림,크림,"(9,723건)",4.8
27,아누아,[화해1위] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 기획 (+1ml*5ea),"39,000","25,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(5,517건)",4.7
28,피지오겔,[한정기획] 피지오겔 DMT 페이셜 수분크림 150ml + 75ml 증정,"55,000","31,900",스킨케어,크림,크림,"(6,648건)",4.8
29,퍼셀,[최모나PICK/2월올영픽/장벽강화원액/리뷰이벤트] 퍼셀 20억/mL 픽셀바이옴 원액 20ml 기획 (+7ml),"28,000","24,500",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(3,783건)",4.8
30,에스트라,에스트라 아토베리어365 하이드로에센스 200ml 기획 (+크림 30ml+무기자차선크림3ml 증정),"32,000","24,000",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(11,607건)",4.8
31,메디큐브,[NEW] 메디큐브 제로 원데이 엑소좀샷 모공앰플 2000 30ml,"22,000","18,810",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,(8건),5.0
32,아벤느,[장벽/보습]아벤느 트릭세라 뉴트리-플루이드 로션 200ml 더블 기획 *윤광 *광채 크림,"44,000",,스킨케어,로션,로션,"(2,042건)",4.7
33,오드로이,오드로이 블랙체리 모공수축크림 로프디 100ml,"28,000","23,800",스킨케어,크림,크림,(201건),4.6
34,바이오더마,[2월 올영픽]바이오더마 하이드라비오 토너 500ml 기획 (+K2 콜라보 파우치),"38,000","25,270",스킨케어,스킨/토너,스킨/토너,"(16,710건)",4.8
35,제로이드,[2월 올영픽/올영단독] 제로이드 인텐시브 크림 80ml 기획 (+수딩 크림 25ml+하이드레이팅 앰플 7ml),"32,000","27,360",스킨케어,크림,크림,"(3,538건)",4.8
