ranking,brand,product,or_price,dis_price,main_class,mid_class,sub_class,review_num,review_score
1,달바,[물광자차/핑크광채썬] 달바 핑크 톤업 선크림 듀오 기획 (50ml+50ml),"51,000","35,700",선케어,선크림,선크림,"(7,408건)",4.7
2,이지듀,[한가인PICK/기미커버개선] 이지듀 기미 앰플 쿠션 15g,"39,800","36,900",선케어,선쿠션,선쿠션,(175건),4.6
3,구달,[1+1기획] 구달 맑은 어성초 진정 수분 선크림 50ml 1+1기획,"20,000","17,500",선케어,선크림,선크림,"(28,908건)",4.8
4,라운드랩,[1등썬/수분밀착] 라운드랩 자작나무 수분 선크림 50ml 기획 (+클렌저 20ml),"25,000","17,500",선케어,선크림,선크림,"(14,207건)",4.8
5,라로슈포제,[2월 올영픽/올영 단독] 라로슈포제 시카플라스트 리페어 선크림 40ml 기획 (+시카토너50ml+시카밤3ml 증정),"34,000","25,000",선케어,선크림,선크림,(137건),4.7
6,비플레인,[1+1/수분선] 비플레인 녹두 쿨링 수분 선크림 50ml 1+1 기획,"25,000","22,570",선케어,선크림,선크림,(20건),4.8
7,닥터지,[단독기획/촉촉수분선크림] 닥터지 그린 마일드 업 선 플러스 기획 2종 택 1 (50ml+20ml/40ml+40ml),"29,000","21,900",선케어,선크림,선크림,"(19,989건)",4.8
8,아누아,[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 더블 기획,"51,000","34,900",선케어,선크림,선크림,"(3,830건)",4.6
9,아누아,[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml,"28,000","19,500",선케어,선크림,선크림,(954건),4.5
10,넘버즈인,[더블기획] 넘버즈인 3번 도자기결 파데스킵 톤업베이지 35ml+35ml (SPF50+ PA++++),"26,000",,선케어,선크림,선크림,"(10,772건)",4.6
11,브링그린,[NEW] 브링그린 알로에 97% 수딩젤 300mL_더블기획 / 단품,"6,800","6,300",선케어,태닝/애프터선,애프터선,"(1,068건)",4.8
12,아이레놀,"[NEW] 아이레놀 쌩얼크림 2종 50ml (SPF 50+,PA++++)","19,800","18,800",선케어,선크림,선크림,"(1,224건)",4.7
13,아떼,[무기자차/붉은기케어] 아떼 비건 릴리프 무기자차 선크림 단품/기획,"42,000","24,900",선케어,선크림,선크림,"(3,501건)",4.8
14,식물나라,식물나라 뽀얀쌀 생기 톤업 선 쿠션 3종 택1(단품/리필 기획),"24,800","16,800",선케어,선쿠션,선쿠션,"(1,342건)",4.6
15,넘버즈인,[1+1 기획] 넘버즈인 1번 청초 진정맑은 물막선크림 50ml+50ml 듀오기획 (SPF50+PA++++),"26,000",,선케어,선크림,선크림,"(5,105건)",4.8
16,톤핏선,[파데프리] 톤핏선 비건 선쿠션 2종 택1 (핑베톤업/듀이커버) SPF50+ PA++++,"24,000","19,200",선케어,선쿠션,선쿠션,"(3,935건)",4.7
17,닥터지,[단독기획/수분 진정선크림] 닥터지 레드 블레미쉬 수딩 업 선 기획 2종 택 1 (50ml+20ml/50ml+50ml),"29,000","20,800",선케어,선크림,선크림,"(2,907건)",4.8
18,닥터지,[단독기획/보송톤업선크림] 닥터지 브라이트닝 업 선 플러스 기획 2종 택 1 (50ml+20ml/40ml+40ml),"32,000","22,900",선케어,선크림,선크림,"(9,315건)",4.8
19,에스쁘아,[톤업선크림/증량기획] 에스쁘아 워터 스플래쉬 선크림 세라마이드 60ml (+20ml 추가 증정),"22,000","17,600",선케어,선크림,선크림,"(3,754건)",4.7
20,라운드랩,[생기촉촉] 라운드랩 자작나무 수분 톤업선크림 50ml 기획 (+클렌저 20ml),"25,000","17,500",선케어,선크림,선크림,"(3,626건)",4.7
21,아누아,[수분 선크림] 아누아 어성초 실키 모이스처 선크림 50ml 더블 기획,"34,900","24,500",선케어,선크림,선크림,"(2,434건)",4.9
22,리얼베리어,[속건조해결/화잘먹] 리얼베리어 세라 수분 장벽 선크림 50ml 1+1 기획,"28,000","23,900",선케어,선크림,선크림,"(1,217건)",4.9
23,바이오힐보,[화잘먹선크림]바이오힐보 프로바이오덤 콜라겐 톤업 선크림 1+1 기획세트 / 단품,"30,000","19,900",선케어,선크림,선크림,(956건),4.6
24,메이크프렘,[뽀송 무기자차/단독기획] 메이크프렘 유브이 디펜스 미 노세범 선크림 40ml+40ml,"28,000","25,200",선케어,선크림,선크림,"(3,057건)",4.8
