¼øÀ§,ºê·£µå,Á¦Ç°¸í,Ä«Å×°í¸®,ÆòÁ¡,¸®ºä¼ö,°¡°Ý(å÷),¹ß¸ÅÀÏ,url,¾÷·ÎµåÀÏ,»óÇ°ID,ºê·£µå_KR,Á¦Ç°¸í_EN,Ä«Å×°í¸®_EN,¸®ºä¼ö_EN
1,VT(«Ö«¤«Æ«£?),CICA «Ç«¤«ê?«¹?«¸«ó«°«Þ«¹«¯,«·?«È«Þ«¹«¯?«Ñ«Ã«¯,5.2,«¯«Á«³«ß10034Ëì,2420,2019-12-02,https://www.cosme.net/products/10189359/,2025-02-18 10:03,10189359,ºêÀÌÆ¼ÄÚ½º¸ÞÆ½,CICA Daily Soothing Mask,Sheet mask pack,10034 reviews
2,the SAEM,CP«Á«Ã«×«³«ó«·?«é?,«³«ó«·?«é?,4.6,«¯«Á«³«ß8804Ëì,858,- (2018/8/22õÚÊ¥??),https://www.cosme.net/products/10145207/,2025-02-18 10:03,10145207,´õ»ù,CP Chip Concealer,Concealer,8804 reviews
3,rom&nd,«¸«å?«·?«é«¹«Æ«£«ó«°«Æ«£«ó«È,Ï¢ûõ,4.9,«¯«Á«³«ß6709Ëì,1320,2019/11/21 (2024/4/20õÚÊ¥??),https://www.cosme.net/products/10176465/,2025-02-18 10:03,10176465,·Ò¾Ø,Juicy Lasting Tint,lipstick,6709 reviews
4,TIRTIR,MASK FIT RED CUSHION,«ê«­«Ã«É«Õ«¡«ó«Ç?«·«ç«ó,4.8,«¯«Á«³«ß6530Ëì,2970,2021/12/11 (2024/7/17õÚÊ¥??),https://www.cosme.net/products/10217471/,2025-02-18 10:03,10217471,Æ¼¸£Æ¼¸£,MASK FIT RED CUSHION,Liquid foundation,"6,530 reviews"
5,«Ê«ó«Ð?«º«¤«ó(numbuzin),5Ûã ÛÜè¬«°«ë«¿«Á«ª«óCªÕªêª«ª±«Þ«¹«¯,«·?«È«Þ«¹«¯?«Ñ«Ã«¯,5.2,«¯«Á«³«ß6457Ëì,1090,2024-01-15,https://www.cosme.net/products/10245780/,2025-02-18 10:03,10245780,³Ñ¹öÁîÀÎ,No. 5 Shiratama Glutathione C Furikake Mask,Sheet mask pack,"6,457 reviews"
6,rom&nd,«Ï«ó«ª?«ë«Ö«í«¦«««é,Ú¶«Þ«¹«««é,5.4,«¯«Á«³«ß5865Ëì,1210,2023/7/27 (2024/3/1õÚÊ¥??),https://www.cosme.net/products/10235626/,2025-02-18 10:03,10235626,·Ò¾Ø,Hanol Blood Cala,Brow mascara,5865 reviews
7,«¤«Ë«¹«Õ«ê?,«ì«Á«Î?«ë «·«« «ê«Ú«¢ «»«é«à,Ú¸é»äû,4.7,«¯«Á«³«ß5574Ëì,3960,2022/2/1 (2024/3/1õÚÊ¥??),https://www.cosme.net/products/10217712/,2025-02-18 10:03,10217712,ÀÌ´Ï½ºÇÁ¸®,Retinol Deer Repair Serum,Beauty fluid,"5,574 reviews"
8,Anua,«É«¯«À«ß77 «¹?«¸«ó«°«È«Ê?,ûùíòâ©,5,«¯«Á«³«ß5308Ëì,2380,- (2022/4/25õÚÊ¥??),https://www.cosme.net/products/10198590/,2025-02-18 10:03,10198590,¾Æ´©¾Æ,Dokudami 77 Soothing Toner,Lotion,"5,308 reviews"
9,Torriden («È«ê«Ç«ó),«À«¤«Ö«¤«ó «Þ«¹«¯,«·?«È«Þ«¹«¯?«Ñ«Ã«¯,5.4,«¯«Á«³«ß4704Ëì,2750,- (2023/6/20õÚÊ¥??),https://www.cosme.net/products/10210539/,2025-02-18 10:03,10210539,Åä¸®µç,Dive-in mask,Sheet mask pack,4704 reviews
10,«Ê«ó«Ð?«º«¤«ó(numbuzin),3Ûã ª¹ªÙª¹ªÙ«­«á«±«¢«·?«È«Þ«¹«¯,«·?«È«Þ«¹«¯?«Ñ«Ã«¯,5,«¯«Á«³«ß4383Ëì,1090,2021/9/10 (2022/11/28õÚÊ¥??),https://www.cosme.net/products/10216004/,2025-02-18 10:03,10216004,³Ñ¹öÁîÀÎ,No. 3 Smooth care sheet mask,Sheet mask pack,"4,383 reviews"
