랭킹,브랜드,상품명,정가,할인가
오특,팻다운,[2월 올영픽/앨리스펑크PICK] CJ 팻다운 슬리밍샷 5+1입 기획 (6일분),"16,900","11,900"
,에스쁘아,[2월 올영픽/선런칭] 에스쁘아 비벨벳 커버쿠션 SPF42 PA++ (본품+리필) 8 colors + 미니 파우더,"40,000","28,900"
02,차앤박,[2월 올영픽] 차앤박 프로폴리스 에너지 액티브 앰플 30ml 트리플 기획,"74,000","42,900"
03,에스쁘아,[2월 올영픽/단독기획] 에스쁘아 꾸뛰르 립틴트 글레이즈 20 colors,"22,000","16,900"
04,에스쁘아,[2월 올영픽/단독기획] 에스쁘아 비글로우 볼륨 쿠션 기획 (본품+리필+스틱 하이라이터 키링),"40,000","28,400"
오특,메디큐브 에이지알,[산범Pick/1등뷰티기기] 메디큐브 부스터프로 미니 (화이트/핑크),"99,000","93,500"
,어뮤즈,[포카증정/신규컬러] 어뮤즈 세라믹 스킨 퍼펙터 쿠션 발레리나 에디션 한정 기획 (+리필+퍼프 증정),"38,000","30,400"
06,에스쁘아,[2월 올영픽/단독기획] 에스쁘아 더브로우 밸런스 펜슬 (+눈썹 숱가위 증정),"16,000","12,500"
07,에스트라,[2월올영픽/1등크림] 에스트라 아토베리어365 크림 80ML 더블기획 (+세라히알 앰플 7ML+에이시카 세럼 3ML),"59,400","44,500"
08,메디힐,[13년연속 1위] 메디힐 에센셜 마스크팩 1매 고기능 7종 택1,"2,000","1,000"
09,데이지크,[NEW/리뷰이벤트] 데이지크 블루밍 싱글 섀도우 10종 중 택 1,"9,000","7,900"
10,휩드,[2월 올영픽] 휩드 비건 팩클렌저 130g 기획 (3종 중 택1),"29,000","22,300"
오특,데이지크,[NEW/리뷰이벤트] 데이지크 핑크 블라썸 섀도우 팔레트 2종 중 택1,"32,000","22,990"
,메디힐,[51관왕/200매] 메디힐 네모패드 100+100매 더블기획 7종 골라담기,"39,900","28,900"
12,라로슈포제,[2월 올영픽/올영 단독] 라로슈포제 시카플라스트 밤 B5+ 200ml 기획 (+시카PRO마스크 1매),"70,000","49,900"
13,메디힐,[10+1매] 메디힐 마데카소사이드 에센셜 마스크 흔적 리페어,"20,000","10,000"
14,어노브,[2월 올영픽/3년 연속 1위] 어노브 딥 데미지 헤어 트리트먼트 EX 더블/듀오 기획 3종 택1 (텐더블룸/웜페탈),"42,000","29,800"
