랭킹,브랜드,상품명,정가,할인가
01,에스쁘아,[2월 올영픽/선런칭] 에스쁘아 비벨벳 커버쿠션 SPF42 PA++ (본품+리필) 8 colors + 미니 파우더,"40,000","28,900"
02,에스쁘아,[2월 올영픽/단독기획] 에스쁘아 꾸뛰르 립틴트 글레이즈 20 colors,"22,000","16,900"
오특,에스쁘아,[2월 올영픽/단독기획] 에스쁘아 비글로우 볼륨 쿠션 기획 (본품+리필+스틱 하이라이터 키링),"40,000","28,400"
,어뮤즈,[포카증정/신규컬러] 어뮤즈 세라믹 스킨 퍼펙터 쿠션 발레리나 에디션 한정 기획 (+리필+퍼프 증정),"38,000","30,400"
04,에스쁘아,[2월 올영픽/단독기획] 에스쁘아 더브로우 밸런스 펜슬 (+눈썹 숱가위 증정),"16,000","12,500"
05,데이지크,[NEW/리뷰이벤트] 데이지크 블루밍 싱글 섀도우 10종 중 택 1,"9,000","7,900"
오특,데이지크,[NEW/리뷰이벤트] 데이지크 핑크 블라썸 섀도우 팔레트 2종 중 택1,"32,000","22,990"
,어뮤즈,[포카증정/단독기획] 어뮤즈 파우더 벨벳 틴트 한정 기획 (+미니리무버 증정),"19,000","15,200"
07,3CE,[2월올영픽] 3CE 캐시미어 허그 립스틱 10colors (기획세트 / 단품),"22,000","16,500"
오특,정샘물,정샘물 에센셜 스킨 누더 쿠션 (본품+리필),"45,000","42,750"
,디어달리아,[2024 어워즈] 디어달리아 리퀴드 블러쉬 (기획/단품),"25,000","21,250"
09,롬앤,[2024 어워즈/NEW] 롬앤 더 쥬시 래스팅 틴트 23 Color,"13,000","9,900"
10,데이지크,[NEW/리뷰이벤트] 데이지크 퓨어 워터 립 글로스 16종 중 택1,"18,000","11,340"
11,얼터너티브스테레오,[NEW 컬러 출시] 얼터너티브스테레오 립 포션 슈가 글레이즈 틴트,"19,000","16,150"
12,에뛰드,[2월올영픽_포카증정 /NEW기획] 에뛰드 그림자 쉐딩 브라이트너+멀티 브러쉬 증정 기획 웜&쿨,"20,000","16,000"
13,에스쁘아,[2월 올영픽/단독기획] 에스쁘아 비글로우 파운데이션 30g 10 colors + 브러쉬 + 미니쿠션 공용기,"42,000","30,900"
14,비디비치,[올영단독컬러/NEW] 비디비치 글로우 크림 블러시 7종 택1,"32,000","30,000"
15,연작,[선베이스 증정] 연작 스킨 퍼펙팅 프로텍티브 베이스프렙 40ml,"45,000","26,900"
16,오프라 코스메틱,[NEW컬러] 오프라 코스메틱 미니 하이라이터 9종,"33,000","4,500"
17,에스쁘아,[2월 올영픽/단독선런칭] 에스쁘아 아이 코어 팔레트 9g + 브러쉬 증정,"36,000","8,500"
18,에르보리앙,에르보리앙 CC 레드 코렉트 15ml/45ml,"42,000","19,500"
19,에뛰드,[2월 올영픽/포카 증정] [미러키링 증정] 에뛰드 왓츠 인 마이 아이즈 24 colors,"6,000","23,800"
20,헤라,헤라 센슈얼 누드 글로스 5g,"40,000","12,800"
21,컬러그램,[립펜슬기획] 컬러그램 누디 블러 틴트 13 COLOR (기획/단품),"10,000","18,000"
22,에뛰드,[2월올영픽_포카증정/선크림50ml선착순] NEW 에뛰드 클라우드 필터쿠션리필 + 퍼프 2매 기획 세트,"26,000","13,500"
23,웨이크메이크,[오징어게임] 웨이크메이크 소프트 블러링 아이팔레트 (기획/단품),"34,000","23,100"
24,에뛰드,[2월 올영픽/포카 증정] [NEW 단독기획] 에뛰드 컬 픽스 마스카라_4 Colors,"16,000","4,800"
25,토니모리,[NEW/선런칭] 토니모리 치크톤 립앤치크 듀오밤 12종,"20,000","10,800"
26,투크,[2024 어워즈/NEW 컬러 출시] 투크 워터프루프 슬림 아이라이너 16colors,"13,900","16,500"
27,퓌,퓌 3D 볼류밍 글로스 12컬러 (30%/70%),"18,000","12,600"
28,에이프릴스킨,[품절대란/밀착커버]에이프릴스킨 히어로 쿠션(본품+리필),"33,000","14,400"
29,정샘물,정샘물 에센셜 물 마이크로 피팅 미스트 (듀오기획/55ml/120ml),"40,000","30,400"
30,홀리카홀리카,[2024어워즈/한정기획] 홀리카홀리카 마이페이브 피스 아이섀도우/ 피스빔,"6,000","40,500"
31,더샘,[2024 베이스 1위/NEW컬러 출시] 더샘 커버 퍼펙션 트리플 팟 컨실러 7colors,"12,000","17,850"
32,퓌,[2024 어워즈/NEW컬러] 퓌 립앤치크 블러리 푸딩팟 (+미니 립브러쉬 증정),"22,000","9,600"
33,딘토,[올영어워즈 한정기획] 딘토 블러글로이 립 틴트 30colors (+미니 속광치크 증정),"20,000","17,800"
34,헤라,[선착순 하이라이터 증정] 헤라 블랙 쿠션 파운데이션 (본품15g+리필15g),"74,000","10,800"
35,코스노리,[28관왕] 코스노리 롱 액티브 아이래쉬 세럼 비건 속눈썹영양제,"18,000","28,900"
36,오브제,[2024 어워즈] 오브제 커버로션 50g 어워즈 한정기획 (+미니어처 10g),"29,800","11,200"
37,바닐라코,[2024 어워즈/픽서증정] 바닐라코 얼티밋 화이트 쿠션 (+리필+픽서 기획),"38,000","21,000"
38,정샘물,[NEW] 정샘물 에센셜 스킨 누더 롱웨어 쿠션 (본품+리필),"45,000","9,900"
39,페리페라,[NEW][+컬러 마스카라 기획] 페리페라 올테이크 무드 팔레트,"23,000","44,800"
40,투쿨포스쿨,[코코초PICK/NEW컬러] 투쿨포스쿨 스머징 트임 라이너 10colors,"12,000","10,500"
41,키스미,[1+1] 키스미 스무스 리퀴드 아이라이너 N 3종 1+1 한정기획,"18,000","29,700"
42,클리오,[NO.1 아이라이너] 클리오 샤프 쏘 심플 워터프루프 펜슬라이너,"11,000","30,400"
43,투쿨포스쿨,[2024 어워즈/2년연속수상] 투쿨포스쿨 프로타주 펜슬 14colors (한정기획/단품),"12,000","12,600"
44,VDL,[리뉴얼/매끈필터쿠션] VDL 커버 스테인 퍼펙팅 쿠션 리필 기획,"34,000","29,800"
45,에뛰드,[브러쉬 증정기획] 에뛰드 재창조 메이커 쉐딩 스틱 브러쉬 한정 기획 /단품 (웜&쿨),"14,000","14,700"
46,홀리카홀리카,홀리카홀리카 마이페이브 무드 아이팔레트,"28,000","16,000"
47,키스미,[1+1 한정기획] 키스미 마이크로 마스카라 EX 1+1 (기획/단품),"22,000","13,600"
48,비디비치,[품절대란/단독기획] 비디비치 롱웨어 스킨 핏 쿠션 리필 기획 (+스킨일루미네이션10ml 증정) 3종 택1,"56,000","29,700"
49,루나,[혀땳은앙꼬 한정기획/올리브영 6년연속 1위] 루나 롱래스팅 팁 컨실러 기획 7colors,"15,000","17,800"
