랭킹,브랜드,상품명,정가,할인가
01,차앤박,[2월 올영픽] 차앤박 프로폴리스 에너지 액티브 앰플 30ml 트리플 기획,"74,000","42,900"
02,에스트라,[2월올영픽/1등크림] 에스트라 아토베리어365 크림 80ML 더블기획 (+세라히알 앰플 7ML+에이시카 세럼 3ML),"59,400","44,500"
03,라로슈포제,[2월 올영픽/올영 단독] 라로슈포제 시카플라스트 밤 B5+ 200ml 기획 (+시카PRO마스크 1매),"70,000","49,900"
04,메디큐브,[1+1/흔적미백] 메디큐브 연어 PDRN 핑크 앰플 더블기획 (30ml+30ml),"46,000","25,900"
05,토리든,[단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필기획(+리필팩 50ml),"36,000","27,000"
06,라로슈포제,[2월 올영픽] 라로슈포제 시카플라스트 크림 B5 100ml 기획 (+시카토너 50ml+시카크림 3ml 증정),"50,000","38,100"
07,구달,[세럼1위/6년연속수상/총 120ml 대용량]구달 청귤 비타C 잡티케어 세럼 70ml 대용량 어워즈 한정기획,"50,000","32,900"
08,웰라쥬,[대용량150ml] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 1+1 기획,"46,000","29,900"
09,바이오더마,[2월 올영픽/화장솜 증정] 바이오더마 하이드라비오 에센스 로션 200ml(화장솜 증정),"35,000","23,500"
10,에스네이처,[2년연속수상/1+1] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 더블 기획(60ml+60ml),"43,000","23,500"
11,셀라딕스,[트러블/모공개선] 셀라딕스 세범 리밸런싱 RX 131 앰플,"28,900","25,400"
12,닥터지,[1등크림/100ml대용량]닥터지 레드 블레미쉬 클리어 수딩 크림 기획세트 (100ml/150ml구성),"38,000","27,600"
13,라네즈,[2월 올영픽] 라네즈 크림스킨 170ml 리필기획 (+170ml 리필+미스트펌프 증정),"33,000","23,700"
14,아누아,[화해1위] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30ml 기획 (+1ml*5ea),"39,000","25,900"
15,센텔리안24,센텔리안24 마데카 크림 타임 리버스 단독 기획(15ml*2개+마스크팩3매),"38,000","21,900"
16,에스트라,[2월올영픽]에스트라 아토베리어365 로션 150ml 리필 기획 (+150ML 리필 파우치 + 에이시카 세럼 3ML),"53,400","39,900"
17,바이오더마,[2월 올영픽]바이오더마 시카비오 포마드 100ml(리페어 리치 밤),"38,000","28,900"
18,파티온,[아랑 PICK] 파티온 노스카나인 트러블 세럼 기획 (50ml+15ml),"38,000","27,900"
19,피지오겔,[한정기획] 피지오겔 DMT 페이셜 수분크림 150ml + 75ml 증정,"55,000","31,900"
20,차앤박,[2월 올영픽/재유PICK] 차앤박 더마앤서 액티브 부스트 PDRN앰플 30ml 기획 (+15ml 증정),"39,000","26,900"
21,토리든,토리든 다이브인 수딩 크림 더블 기획세트(100ml+100ml),"42,000","29,400"
22,바이오더마,[2월 올영픽]바이오더마 하이드라비오 토너 500ml 기획 (+K2 콜라보 파우치),"38,000","25,270"
23,바이오더마,[2월 올영픽/40ml 본품증정]바이오더마 시카비오 크림+ 100ml 기획 (+40ml 증정),"43,000","33,900"
24,닥터지,[탄력/보습크림] 닥터지 블랙 스네일 크림 50ml 1+1 기획 (+15ml)(영양크림),"33,000","29,800"
25,아벤느,아벤느 오 떼르말 미스트 300ml 2입 기획,"34,000","25,900"
26,브링그린,[1등세럼] 브링그린 징크테카 트러블 세럼 한정기획,"39,600","24,800"
27,온그리디언츠,[1등로션]온그리디언츠 스킨 베리어 카밍 로션 기획(220ml+80ml),"39,900","30,510"
28,더하르나이,[화잘먹크림/단독기획]더하르나이 시카이드 크림 100ml+30ml 기획,"29,000","19,900"
29,메디힐,[NEW/1위] 메디힐 마데카소사이드 흔적 리페어 세럼 증량 기획(40ml+20ml),"26,900","17,900"
30,바이오힐보,[2월 올영픽/PDRN 키트증정] 바이오힐보 프로바이오덤 콜라겐 리모델링 세럼 30ml 리필 기획 (+프로그램14ml),"49,500","28,900"
오특,제로이드,[2월 올영픽/올영단독] 제로이드 인텐시브 크림 80ml 기획 (+수딩 크림 25ml+하이드레이팅 앰플 7ml),"32,000","25,600"
,프리메라,[레티놀+비타민C] 프리메라 비타티놀 세럼 21g+15g 기획/단품,"40,000","30,400"
32,퍼셀,[최모나PICK/2월올영픽/장벽강화원액/리뷰이벤트] 퍼셀 20억/mL 픽셀바이옴 원액 20ml 기획 (+7ml),"28,000","24,500"
33,라로슈포제,[2월 올영픽] 라로슈포제 히알루B5 세럼 30ml 기획 (+3ml*2 추가증정),"56,000","42,000"
34,바이오힐보,[1등탄력]바이오힐보 프로바이오덤 3D 리프팅 크림 50ml 리필기획 (+윤곽마스크 2매)(올리지오 콜라보),"75,800","40,900"
